,indicator_category,indicator,gender,race_ethnicity,rate,state,year
3402,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,174.1, TX,2010
5744,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,All,917.6, FL,2010
12667,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,16.6, DC,2010
10131,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,24.5, CA,2010
5608,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Female,All,24.8, FL,2010
11968,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,50.8,,2010
5607,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Male,All,34.1, FL,2010
12635,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,All,10.2, DC,2010
399,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Black,32.8, MD,2010
11512,Tobacco,Percent of High School Students Who Currently Smoke,Female,All,10.0, WA,2010
11513,Tobacco,Percent of High School Students Who Currently Smoke,Both,All,12.0, WA,2010
402,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,White,25.4, MD,2010
11965,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Native American,33.1,,2010
5743,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Female,All,516.7, FL,2010
10132,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,14.8, CA,2010
406,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,All,14.5, MD,2010
407,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Female,All,9.7, MD,2010
10133,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,19.1, CA,2010
387,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Both,White,62.6, MD,2010
5615,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,White,25.3, FL,2010
5613,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Hispanic,30.6, FL,2010
435,Tobacco,Percent of Adults Who Currently Smoke,Both,White,19.4, MD,2010
416,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Black,9.5, MD,2010
11518,Tobacco,Percent of High School Students Who Currently Smoke,Both,Black,9.0, WA,2010
10143,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,30.5, CA,2010
5600,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Both,Hispanic,62.4, FL,2010
419,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,White,21.1, MD,2010
5598,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Both,All,62.4, FL,2010
3262,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,All,10.5, TX,2010
422,Tobacco,Percent of Adults Who Currently Smoke,Both,All,24.3, MD,2010
423,Tobacco,Percent of Adults Who Currently Smoke,Female,All,21.8, MD,2010
424,Tobacco,Percent of Adults Who Currently Smoke,Male,All,27.4, MD,2010
3261,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Female,All,4.0, TX,2010
3260,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Male,All,17.9, TX,2010
427,Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),Both,All,73.6, OH,2010
10146,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,14.7, CA,2010
5597,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Female,All,60.6, FL,2010
5596,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Male,All,65.2, FL,2010
11522,Tobacco,Percent of High School Students Who Currently Smoke,Both,Multiracial,17.0, WA,2010
5578,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,12.7, FL,2010
455,Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),Both,Hispanic,82.5, OH,2010
453,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,White,75.5, MD,2010
390,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,All,29.2, MD,2010
10140,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,57.1, CA,2010
5601,Infectious Disease,Percent of Adults Over Age 65 Who Received Pneumonia Vaccine,Both,Other,65.4, FL,2010
11520,Tobacco,Percent of High School Students Who Currently Smoke,Both,Hispanic,18.0, WA,2010
5588,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,6.6, FL,2010
439,Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),Both,Asian/PI,88.4, OH,2010
441,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,All,68.4, MD,2010
442,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Female,All,62.7, MD,2010
6057,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Black,13.3, DC,2010
443,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Male,All,75.2, MD,2010
11956,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,24.8,,2010
10155,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Female,All,24.4, CA,2010
447,Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),Both,Black,72.8, OH,2010
11524,Tobacco,Percent of High School Students Who Currently Smoke,Both,Native American,29.0, WA,2010
10156,Tobacco,Percent of Adults Who Currently Smoke,Male,All,16.0, CA,2010
450,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,Both,Black,62.2, MD,2010
5583,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,10.3, FL,2010
10157,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,All,26.7, CA,2010
10154,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Male,All,31.2, CA,2010
5875,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Black,3.9, FL,2010
9649,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,All,42.6, TX,2010
9651,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,Black,33.1, TX,2010
12700,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Female,All,9.6, DC,2010
3579,Maternal and Child Health,Percent of Mothers Under Age 20,Female,All,11.3, TX,2010
5899,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Both,All,6.1, FL,2010
3631,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,10.3, TX,2010
3583,Maternal and Child Health,Percent of Mothers Under Age 20,Female,Black,13.5, TX,2010
12231,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,All,276.7,,2010
12707,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,Asian/PI,0.2, DC,2010
5914,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Both,White,1.8, FL,2010
3618,Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),Female,All,79.8, DC,2010
5909,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Both,Hispanic,4.9, FL,2010
12232,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Female,All,161.2,,2010
12712,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,Black,5.8, DC,2010
12234,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Male,All,510.8,,2010
5964,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Asian/PI,2.3, MN,2010
3592,Maternal and Child Health,Percent of Mothers Under Age 20,Female,White,5.3, TX,2010
3622,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,16.9, TX,2010
3623,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,11.9, TX,2010
12208,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Hispanic,7.0,,2010
12211,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Native American,7.6,,2010
12719,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,Other,0.3, DC,2010
12214,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,White,7.1,,2010
5787,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,8.1, FL,2010
3508,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,10.5, TX,2010
12253,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Hispanic,327.1,,2010
11953,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,47.6,,2010
3570,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Hispanic,1.2, TX,2010
5898,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Female,All,4.7, FL,2010
3635,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,14.2, TX,2010
3576,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,White,1.2, TX,2010
3589,Maternal and Child Health,Percent of Mothers Under Age 20,Female,Other,1.8, TX,2010
12226,Maternal and Child Health,Percent of Mothers Under Age 20,Female,White,6.7,,2010
3573,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Other,1.8, TX,2010
12223,Maternal and Child Health,Percent of Mothers Under Age 20,Female,Native American,16.1,,2010
12701,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,All,15.6, DC,2010
12718,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,Hispanic,0.8, DC,2010
6111,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,All,6.8, MN,2010
3567,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Black,3.1, TX,2010
3566,Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),Male,All,74.9, DC,2010
12215,Maternal and Child Health,Percent of Mothers Under Age 20,Female,All,9.3,,2010
5897,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Male,All,7.7, FL,2010
11960,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,20.4,,2010
3624,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,13.9, TX,2010
3586,Maternal and Child Health,Percent of Mothers Under Age 20,Female,Hispanic,14.3, TX,2010
3532,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Male,All,31.5, TX,2010
3534,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,White,26.4, TX,2010
3668,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Female,All,1.6, TX,2010
12247,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Black,966.5,,2010
3669,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,All,11.1, TX,2010
3672,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Black,3.3, TX,2010
12699,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Male,All,6.0, DC,2010
3675,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Hispanic,2.7, TX,2010
12243,HIV/AIDS,"Persons Living with HIV/AIDS Rate (Per 100,000 people)",Both,Asian/PI,64.8,,2010
3677,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Other,8.9, TX,2010
3680,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,White,9.9, TX,2010
12205,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Black,13.5,,2010
5880,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,Hispanic,8.1, FL,2010
9657,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,White,66.9, TX,2010
12201,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,All,8.1,,2010
9655,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,Other,32.2, TX,2010
9653,Behavioral Health/Substance Abuse,"Drug Abuse-Related Hospitalization Rate (Per 100,000 people) *Comparisons of these data are difficult as definitions can vary.",Both,Hispanic,30.0, TX,2010
5853,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",Male,All,0.7, FL,2010
5854,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",Female,All,0.5, FL,2010
6099,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,White,5.5, PA,2010
3517,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,All,1.6, TX,2010
5904,Infectious Disease,"Tuberculosis Incidence Rate (Per 100,000 people)",Both,Black,13.1, FL,2010
5885,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,White,13.3, FL,2010
12724,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)",Both,White,5.3, DC,2010
3667,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Male,All,11.1, TX,2010
3533,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Hispanic,38.7, TX,2010
3531,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Female,All,29.7, TX,2010
3530,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,All,30.6, TX,2010
9881,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Black,24.3, TX,2010
3626,Infectious Disease,"Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,17.6, TX,2010
12188,Maternal and Child Health,Percent of Low Birth Weight Babies Born,Both,Asian/PI,8.5,,2010
12187,Maternal and Child Health,Percent of Mothers Under Age 20,Female,Asian/PI,2.6,,2010
9886,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Other,41.4, TX,2010
3719,Life Expectancy and Death Rate (Overall),Life Expectancy at Birth (Years),Both,All,77.5, DC,2010
5870,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Both,All,8.3, FL,2010
5869,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Female,All,2.9, FL,2010
5868,Injury and Violence,"Suicide Rate  (Age-Adjusted; Per 100,000 people)",Male,All,14.6, FL,2010
9889,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,White,87.5, TX,2010
5855,Food Safety,"Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)",Both,All,0.6, FL,2010
9884,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Hispanic,25.9, TX,2010
432,Tobacco,Percent of Adults Who Currently Smoke,Both,Black,29.4, MD,2010
11959,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,52.6,,2010
5621,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,All,10.9, FL,2010
12401,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,219.5, DC,2010
7487,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,2.5, PA,2010
5252,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,140.1, FL,2010
12399,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,271.7, DC,2010
7563,Tobacco,Percent of Adults Who Currently Smoke,Both,Black,27.6, PA,2010
1308,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,51.4, IL,2010
7560,Tobacco,Percent of Adults Who Currently Smoke,Both,Asian/PI,13.0, PA,2010
7558,Tobacco,Percent of Adults Who Currently Smoke,Both,All,25.2, PA,2010
7557,Tobacco,Percent of Adults Who Currently Smoke,Female,All,24.3, PA,2010
7556,Tobacco,Percent of Adults Who Currently Smoke,Male,All,26.3, PA,2010
7551,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,White,22.6, PA,2010
12400,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,183.1, DC,2010
7547,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Hispanic,10.2, PA,2010
7539,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Male,All,20.7, PA,2010
12948,Maternal and Child Health,Percent of Mothers Under Age 20,Both,White,1.6, CA,2010
1318,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,7.8, IL,2010
1319,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,4.1, IL,2010
5251,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,112.8, FL,2010
12514,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,2.3, DC,2010
1694,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Both,Native American,0.0, OH,2010
1351,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,All,31.4, IL,2010
12404,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,280.9, DC,2010
7533,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,White,26.8, PA,2010
7530,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Hispanic,35.9, PA,2010
1332,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,5.6, IL,2010
7528,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Black,38.4, PA,2010
5250,Cancer,"All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,178.6, FL,2010
7525,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,All,32.2, PA,2010
1336,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,4.2, IL,2010
1320,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,5.8, IL,2010
7524,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Female,All,34.4, PA,2010
1700,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Both,White,32.7, OH,2010
1328,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,8.5, IL,2010
12407,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,129.4, DC,2010
5236,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,White,10.1, FL,2010
12410,"Nutrition, Physical Activity, & Obesity","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,White,137.1, DC,2010
5231,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Hispanic,16.0, FL,2010
1349,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Male,All,31.4, IL,2010
1350,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Female,All,31.4, IL,2010
7523,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Male,All,29.3, PA,2010
5462,HIV/AIDS,"HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,9.8, FL,2010
7544,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,Black,11.3, PA,2010
7541,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Both,All,16.1, PA,2010
4947,"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Are Obese,Both,Asian/PI,9.1, CA,2010
1403,Behavioral Health/Substance Abuse,Percent of High School Students Who Binge Drank,Female,All,18.9, IL,2010
1404,Behavioral Health/Substance Abuse,Percent of High School Students Who Binge Drank,Both,Black,13.4, IL,2010
7436,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,All,10.7, PA,2010
7457,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,52.7, PA,2010
1683,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Both,Asian/PI,0.0, OH,2010
1358,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,White,31.8, IL,2010
7473,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,2.7, PA,2010
5226,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Both,Black,79.1, FL,2010
7484,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,1.5, PA,2010
7481,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Black,5.1, PA,2010
5221,HIV/AIDS,"AIDS Diagnoses Rate (Per 100,000 people)",Male,All,37.8, FL,2010
1689,Behavioral Health/Substance Abuse,"Opioid-Related Mortality Rate (Crude Rate; Per 100,000 people) *These data should not be compared across cities as they have different definitions",Both,Black,6.8, OH,2010
7477,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,3.9, PA,2010
1366,Tobacco,Percent of Adults Who Currently Smoke,Both,All,20.4, IL,2010
12511,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,2.0, DC,2010
7474,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,All,3.5, PA,2010
7439,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Asian/PI,3.1, PA,2010
1399,Behavioral Health/Substance Abuse,Percent of High School Students Who Binge Drank,Both,All,19.7, IL,2010
7442,Maternal and Child Health,"Infant Mortality Rate (Per 1,000 live births)",Both,Black,14.8, PA,2010
11785,"Nutrition, Physical Activity, & Obesity","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,27.1,,2010
1324,Injury and Violence,"Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Asian/PI,4.3, IL,2010
7540,Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,Female,All,12.2, PA,2010
1355,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Black,35.5, IL,2010
1357,"Nutrition, Physical Activity, & Obesity",Percent of Adults Who Are Obese,Both,Hispanic,29.2, IL,2010
1304,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Both,Hispanic,17.0, IL,2010
1394,"Nutrition, Physical Activity, & Obesity",Percent of High School Students Who Are Obese,Both,Black,14.0, IL,2010
7456,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Female,All,42.2, PA,2010
7455,Cancer,"Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)",Male,All,68.3, PA,2010
